name, state_code, country_name, i94_port_code
GREATER PEORIA, IL, UNITED STATES, PIA
GREATER ROCKFORD, IL, UNITED STATES, RFD
MEMORIAL - WAUKEGAN, IL, UNITED STATES, UGN
GARY, IN, UNITED STATES, GAR
HAMMOND, IN, UNITED STATES, HMM
INDIANAPOLIS, IN, UNITED STATES, INP
MERRILLVILLE, IN, UNITED STATES, MRL
SOUTH BEND, IN, UNITED STATES, SBN
MID-CONTINENT - WITCHITA, KS, UNITED STATES, ICT
BLUE GRASS - LEXINGTON, KY, UNITED STATES, LEX
LOUISVILLE, KY, UNITED STATES, LOU
BATON ROUGE, LA, UNITED STATES, BTN
LAKE CHARLES, LA, UNITED STATES, LKC
LAKE CHARLES (BPS), LA, UNITED STATES, LAK
MONROE, LA, UNITED STATES, MLU
MORGAN CITY, LA, UNITED STATES, MGC
NEW ORLEANS, LA, UNITED STATES, NOL
BOSTON, MA, UNITED STATES, BOS
GLOUCESTER, MA, UNITED STATES, GLO
HANSCOM FIELD - BEDFORD, MA, UNITED STATES, BED
LYNDEN, WA, UNITED STATES, LYN
ANDREWS AFB, MD, UNITED STATES, ADW
BALTIMORE, MD, UNITED STATES, BAL
MUSKEGON, MD, UNITED STATES, MKG
PATUXENT RIVER, MD, UNITED STATES, PAX
BANGOR, ME, UNITED STATES, BGM
BOOTHBAY HARBOR, ME, UNITED STATES, BOO
BRIDGEWATER, ME, UNITED STATES, BWM
BUCKPORT, ME, UNITED STATES, BCK
CALAIS, ME, UNITED STATES, CLS
CARIBOU, ME, UNITED STATES, CRB
COBURN GORE, ME, UNITED STATES, COB
EASTCOURT, ME, UNITED STATES, EST
EASTPORT MUNICIPAL, ME, UNITED STATES, EPT
EASTPORT, ME, UNITED STATES, EPM
FOREST CITY, ME, UNITED STATES, FOR
FORT FAIRFIELD, ME, UNITED STATES, FTF
FORT KENT, ME, UNITED STATES, FTK
HAMIIN, ME, UNITED STATES, HML
HOULTON, ME, UNITED STATES, HTM
JACKMAN, ME, UNITED STATES, JKM
KALISPEL, MT, UNITED STATES, KAL
LIMESTONE, ME, UNITED STATES, LIM
LUBEC, ME, UNITED STATES, LUB
MADAWASKA, ME, UNITED STATES, MAD
PORTLAND, ME, UNITED STATES, POM
RANGELEY (BPS), ME, UNITED STATES, RGM
SOUTH BREWER, ME, UNITED STATES, SBR
ST AURELIE, ME, UNITED STATES, SRL
ST PAMPILE, ME, UNITED STATES, SPA
VAN BUREN, ME, UNITED STATES, VNB
VANCEBORO, ME, UNITED STATES, VCB
ALGONAC, MI, UNITED STATES, AGN
ALPENA, MI, UNITED STATES, ALP
BAY CITY, MI, UNITED STATES, BCY
DETROIT, MI, UNITED STATES, DET
GRAND RAPIDS, MI, UNITED STATES, GRP
GROSSE ISLE, MI, UNITED STATES, GRO
ISLE ROYALE, MI, UNITED STATES, ISL
MARINE CITY, MI, UNITED STATES, MRC
MARYSVILLE, MI, UNITED STATES, MRY
OAKLAND COUNTY - PONTIAC, MI, UNITED STATES, PTK
PORT HURON, MI, UNITED STATES, PHU
ROBERTS LANDING, MI, UNITED STATES, RBT
SAGINAW, MI, UNITED STATES, SAG
SAULT STE. MARIE, MI, UNITED STATES, SSM
ST CLAIR, MI, UNITED STATES, SCL
WILLOW RUN - YPSILANTI, MI, UNITED STATES, YIP
BAUDETTE, MN, UNITED STATES, BAU
CARIBOU MUNICIPAL AIRPORT, MN, UNITED STATES, CAR
Collapsed into INT, MN, UNITED STATES, GTF
Collapsed into INT, MN, UNITED STATES, INL
CRANE LAKE, MN, UNITED STATES, CRA
CRYSTAL MUNICIPAL AIRPORT, MN, UNITED STATES, MIC
DULUTH, MN, UNITED STATES, DUL,
ELY, MN, UNITED STATES, ELY
GRAND PORTAGE, MN, UNITED STATES, GPM
GRANT COUNTY - SILVER CITY, MN, UNITED STATES, SVC
INT\L FALLS, MN, UNITED STATES, INT
LANCASTER, MN, UNITED STATES, LAN
MINN./ST PAUL, MN, UNITED STATES, MSP
NORTHERN SVC CENTER, MN, UNITED STATES, LIN
NOYES, MN, UNITED STATES, NOY
PINE CREEK, MN, UNITED STATES, PIN
PINECREEK BORDER ARPT, MN, UNITED STATES, 48Y
RAINER, MN, UNITED STATES, RAN
ROCHESTER, MN, UNITED STATES, RST
ROSEAU, MN, UNITED STATES, ROS
ST PAUL, MN, UNITED STATES, SPM
"WARROAD INTL, SPB", MN, UNITED STATES, WSB
WARROAD, MN, UNITED STATES, WAR
KANSAS CITY, MO, UNITED STATES, KAN
SPRINGFIELD-BRANSON, MO, UNITED STATES, SGF
ST LOUIS, MO, UNITED STATES, STL
WHITETAIL, MT, UNITED STATES, WHI
WILD HORSE, MT, UNITED STATES, WHM
BILOXI REGIONAL, MS, UNITED STATES, GPT
GOLDEN TRIANGLE LOWNDES CNTY, MS, UNITED STATES, GTR
GULFPORT, MS, UNITED STATES, GUL
PASCAGOULA, MS, UNITED STATES, PAS
THOMPSON FIELD - JACKSON, MS, UNITED STATES, JAN
BILLINGS, MT, UNITED STATES, BIL
BUTTE, MT, UNITED STATES, BTM
CHIEF MT, MT, UNITED STATES, CHF
CUT BANK MUNICIPAL, MT, UNITED STATES, CTB
CUT BANK, MT, UNITED STATES, CUT
DEL BONITA, MT, UNITED STATES, DLB
EUREKA (BPS), MT, UNITED STATES, EUR
GALLATIN FIELD - BOZEMAN, MT, UNITED STATES, BZN
GLACIER NATIONAL PARK, MT, UNITED STATES, FCA
GLASGOW, MT, UNITED STATES, GGW
GREAT FALLS, MT, UNITED STATES, GRE
HAVRE, MT, UNITED STATES, HVR
HELENA, MT, UNITED STATES, HEL
LEWISTON, MT, UNITED STATES, LWT
MORGAN, MT, UNITED STATES, MGM
OPHEIM, MT, UNITED STATES, OPH
PIEGAN, MT, UNITED STATES, PIE
RAYMOND, MT, UNITED STATES, RAY
ROOSVILLE, MT, UNITED STATES, ROO
SCOBEY, MT, UNITED STATES, SCO
SWEETGTASS, MT, UNITED STATES, SWE
TRIAL CREEK, MT, UNITED STATES, TRL
TURNER, MT, UNITED STATES, TUR
WILLOW CREEK, MT, UNITED STATES, WCM
CHARLOTTE, NC, UNITED STATES, CLT
FAYETTEVILLE, NC, UNITED STATES, FAY
MOREHEAD CITY, NC, UNITED STATES, MRH
MORRIS FIELDS AAF, NC, UNITED STATES, FOP
PIEDMONT TRIAD INTL AIRPORT, NC, UNITED STATES, GSO
RALEIGH/DURHAM, NC, UNITED STATES, RDU
SHAW AFB - SUMTER, NC, UNITED STATES, SSC
WILMINGTON, NC, UNITED STATES, WIL
AMBROSE, ND, UNITED STATES, AMB
ANTLER, ND, UNITED STATES, ANT
CARBURY, ND, UNITED STATES, CRY
DUNSEITH, ND, UNITED STATES, DNS
FARGO, ND, UNITED STATES, FAR
FORTUNA, ND, UNITED STATES, FRT
GRAND FORKS, ND, UNITED STATES, GRF
HANNAH, ND, UNITED STATES, HNN
HANSBORO, ND, UNITED STATES, HNS
MAIDA, ND, UNITED STATES, MAI
MINOT, ND, UNITED STATES, MND
NECHE, ND, UNITED STATES, NEC
NOONAN, ND, UNITED STATES, NOO
NORTHGATE, ND, UNITED STATES, NRG
PEMBINA, ND, UNITED STATES, PEM
SARLES, ND, UNITED STATES, SAR
SHERWOOD, ND, UNITED STATES, SHR
ST JOHN, ND, UNITED STATES, SJO
WALHALLA, ND, UNITED STATES, WAL
WESTHOPE, ND, UNITED STATES, WHO
WILLISTON, ND, UNITED STATES, WND
OMAHA, NE, UNITED STATES, OMA
LEBANON, NH, UNITED STATES, LEB
MANCHESTER, NH, UNITED STATES, MHT
PITTSBURG, NH, UNITED STATES, PNH
PORTSMOUTH, NH, UNITED STATES, PSM
BAYONNE, NJ, UNITED STATES, BYO
CAMDEN, NJ, UNITED STATES, CNJ
HOBOKEN, NJ, UNITED STATES, HOB
JERSEY CITY, NJ, UNITED STATES, JER
MC GUIRE AFB - WRIGHTSOWN, NJ, UNITED STATES, WRI
MORRISTOWN, NJ, UNITED STATES, MMU
NEWARK/TETERBORO, NJ, UNITED STATES, NEW
PERTH AMBOY, NJ, UNITED STATES, PER
POMONA FIELD - ATLANTIC CITY, NJ, UNITED STATES, ACY
ALMAGORDO (BPS), NM, UNITED STATES, ALA
ALBUQUERQUE, NM, UNITED STATES, ABQ
ANTELOPE WELLS, NM, UNITED STATES, ANP
CARLSBAD, NM, UNITED STATES, CRL
COLUMBUS, NM, UNITED STATES, COL
CRANE LAKE - ST. LOUIS CNTY, NM, UNITED STATES, CDD
DEMING (BPS), NM, UNITED STATES, DNM
LAS CRUCES, NM, UNITED STATES, LAS
LORDSBURG (BPS), NM, UNITED STATES, LOB
RUIDOSO, NM, UNITED STATES, RUI
SANTA TERESA, NM, UNITED STATES, STR
CANNON INTL - RENO/TAHOE, NV, UNITED STATES, RNO
FALLON MUNICIPAL AIRPORT, NV, UNITED STATES, FLX
LAS VEGAS, NV, UNITED STATES, LVG
RENO, NV, UNITED STATES, REN
ALBANY, NY, UNITED STATES, ALB
ALEXANDRIA BAY, NY, UNITED STATES, AXB
BUFFALO, NY, UNITED STATES, BUF
CANNON CORNERS, NY, UNITED STATES, CNH
CAPE VINCENT, NY, UNITED STATES, CAP
CHAMPLAIN, NY, UNITED STATES, CHM
CHATEAUGAY, NY, UNITED STATES, CHT
CLAYTON, NY, UNITED STATES, CLA
FORT COVINGTON, NY, UNITED STATES, FTC
LA GUARDIA, NY, UNITED STATES, LAG
LEWISTON, NY, UNITED STATES, LEW
MASSENA, NY, UNITED STATES, MAS
MCGUIRE AFB, NY, UNITED STATES, MAG
MOORES, NY, UNITED STATES, MOO
MORRISTOWN, NY, UNITED STATES, MRR
NEW YORK, NY, UNITED STATES, NYC
NIAGARA FALLS, NY, UNITED STATES, NIA
OGDENSBURG, NY, UNITED STATES, OGD
OSWEGO, NY, UNITED STATES, OSW
REGIONAL ARPT - HORSEHEAD, NY, UNITED STATES, ELM
ROCHESTER, NY, UNITED STATES, ROC
ROUSES POINT, NY, UNITED STATES, ROU
STEWART - ORANGE CITY, NY, UNITED STATES, SWF
SYRACUSE, NY, UNITED STATES, SYR
THOUSAND ISLAND BRIDGE, NY, UNITED STATES, THO
TROUT RIVER, NY, UNITED STATES, TRO
WATERTOWN, NY, UNITED STATES, WAT
WESTCHESTER - WHITE PLAINS, NY, UNITED STATES, HPN
WHIRLPOOL BRIDGE, NY, UNITED STATES, WRB
YOUNGSTOWN, NY, UNITED STATES, YOU
AKRON, OH, UNITED STATES, AKR
ASHTABULA, OH, UNITED STATES, ATB
CINCINNATI, OH, UNITED STATES, CIN
CLEVELAND, OH, UNITED STATES, CLE
COLUMBUS, OH, UNITED STATES, CLM
LORAIN, OH, UNITED STATES, LOR
MARBLE HEADS, OH, UNITED STATES, MBO
SANDUSKY, OH, UNITED STATES, SDY
TOLEDO, OH, UNITED STATES, TOL
OKLAHOMA CITY, OK, UNITED STATES, OKC
TULSA, OK, UNITED STATES, TUL
ASTORIA, OR, UNITED STATES, AST
COOS BAY, OR, UNITED STATES, COO
HILLSBORO, OR, UNITED STATES, HIO
MEDFORD, OR, UNITED STATES, MED
NEWPORT, OR, UNITED STATES, NPT
PORTLAND, OR, UNITED STATES, POO
PUT-IN-BAY, OH, UNITED STATES, PUT
ROBERTS FIELDS - REDMOND, OR, UNITED STATES, RDM
ERIE, PA, UNITED STATES, ERI
HARRISBURG, PA, UNITED STATES, MDT
HARRISONBURG, PA, UNITED STATES, HSB
PHILADELPHIA, PA, UNITED STATES, PHI
PITTSBURG, PA, UNITED STATES, PIT
AGUADILLA, PR, UNITED STATES, AGU
BORINQUEN - AGUADILLO, PR, UNITED STATES, BQN
CULEBRA - BENJAMIN RIVERA, PR, UNITED STATES, JCP
ENSENADA, PR, UNITED STATES, ENS
FAJARDO, PR, UNITED STATES, FAJ
HUMACAO, PR, UNITED STATES, HUM
JOBOS, PR, UNITED STATES, JOB
MAYAGUEZ, PR, UNITED STATES, MAY
PONCE, PR, UNITED STATES, PON
PONCE-MERCEDITA, PR, UNITED STATES, PSE
SAN JUAN, PR, UNITED STATES, SAJ
VIEQUES-ARPT, PR, UNITED STATES, VQS
PROVIDENCE, RI, UNITED STATES, PRO
THEODORE FRANCIS - WARWICK, RI, UNITED STATES, PVD
CHARLESTON, SC, UNITED STATES, CHL
COLUMBIA #ARPT, SC, UNITED STATES, CAE
GEORGETOWN, SC, UNITED STATES, GEO
GREENVILLE, SC, UNITED STATES, GSP
GREER, SC, UNITED STATES, GRR
MYRTLE BEACH, SC, UNITED STATES, MYR
"BLACK HILLS, SPEARFISH", SD, UNITED STATES, SPF
HOWES REGIONAL ARPT - HURON, SD, UNITED STATES, HON
SAIPAN, , , SAI
MC GHEE TYSON - ALCOA, TN, UNITED STATES, TYS
MEMPHIS, TN, UNITED STATES, MEM
NASHVILLE, TN, UNITED STATES, NSV
TRI CITY ARPT, TN, UNITED STATES, TRI
ADDISON AIRPORT - ADDISON, TX, UNITED STATES, ADS
AMISTAD DAM, TX, UNITED STATES, ADT
ANZALDUAS, TX, UNITED STATES, ANZ
AUSTIN, TX, UNITED STATES, AUS
BEAUMONT, TX, UNITED STATES, BEA
BIG BEND PARK (BPS), TX, UNITED STATES, BBP
BP SPEC COORD. CTR, TX, UNITED STATES, SCC
BP TACTICAL UNIT, TX, UNITED STATES, BTC
BRIDGE OF AMERICAS, TX, UNITED STATES, BOA
BROWNSVILLE, TX, UNITED STATES, BRO
CORPUS CHRISTI, TX, UNITED STATES, CRP
DALLAS, TX, UNITED STATES, DAL
DEL RIO, TX, UNITED STATES, DLR
DONNA, TX, UNITED STATES, DNA
EAGLE PASS, TX, UNITED STATES, EGP
EL PASO, TX, UNITED STATES, ELP
FABENS, TX, UNITED STATES, FAB
FALCON HEIGHTS, TX, UNITED STATES, FAL
FORT HANCOCK, TX, UNITED STATES, FTH
FORT WORTH ALLIANCE, TX, UNITED STATES, AFW
FREEPORT, TX, UNITED STATES, FPT
GALVESTON, TX, UNITED STATES, GAL
HARLINGEN, TX, UNITED STATES, HLG
HIDALGO, TX, UNITED STATES, HID
HOUSTON, TX, UNITED STATES, HOU
"HULL FIELD, SUGAR LAND ARPT", TX, UNITED STATES, SGR
JUAREZ-LINCOLN BRIDGE, TX, UNITED STATES, LLB
LAREDO COLUMBIA BRIDGE, TX, UNITED STATES, LCB
LAREDO NORTH, TX, UNITED STATES, LRN
LAREDO, TX, UNITED STATES, LAR
LOS EBANOS, TX, UNITED STATES, LSE
LOS INDIOS, TX, UNITED STATES, IND
LOS INDIOS, TX, UNITED STATES, LOI
MARFA (BPS), TX, UNITED STATES, MRS
MCALLEN, TX, UNITED STATES, MCA
ODESSA REGIONAL, TX, UNITED STATES, MAF
PASO DEL NORTE, TX, UNITED STATES, PDN
PEACE BRIDGE, NY, UNITED STATES, PBB
PHARR, TX, UNITED STATES, PHR
PORT ARTHUR, TX, UNITED STATES, PAR
PORT ISABEL, TX, UNITED STATES, ISB
PORT OF EL PASO, TX, UNITED STATES, POE
PRESIDIO, TX, UNITED STATES, PRE
PROGRESO, TX, UNITED STATES, PGR
RIO GRANDE CITY, TX, UNITED STATES, RIO
ROMA, TX, UNITED STATES, ROM
SAN ANTONIO, TX, UNITED STATES, SNA
SANDERSON, TX, UNITED STATES, SNN
VETERAN INTL BRIDGE, TX, UNITED STATES, VIB
YSLETA, TX, UNITED STATES, YSL
CHARLOTTE AMALIE, VI, UNITED STATES, CHA
CHRISTIANSTED, VI, UNITED STATES, CHR
"CRUZ BAY, ST JOHN", VI, UNITED STATES, CRU
FREDERIKSTED, VI, UNITED STATES, FRK
ST THOMAS, VI, UNITED STATES, STT
CACHE AIRPORT - LOGAN, UT, UNITED STATES, LGU
SALT LAKE CITY, UT, UNITED STATES, SLC
ALBEMARLE CHARLOTTESVILLE, VA, UNITED STATES,  CHO
DAVISON AAF - FAIRFAX CNTY, VA, UNITED STATES, DAA
HOPEWELL, VA, UNITED STATES, HOP
MANASSAS #ARPT, VA, UNITED STATES, HEF
NEWPORT, VA, UNITED STATES, NWN
NORFOLK, VA, UNITED STATES, NOR
RICHMOND, VA, UNITED STATES, RCM
ALBURG SPRINGS, VT, UNITED STATES, ABS
ALBURG, VT, UNITED STATES, ABG
BEEBE PLAIN, VT, UNITED STATES, BEB
BEECHER FALLS, VT, UNITED STATES, BEE
BURLINGTON, VT, UNITED STATES, BRG
CANAAN, VT, UNITED STATES, CNA
DERBY LINE (I-91), VT, UNITED STATES, DER
DERBY LINE (RT. 5), VT, UNITED STATES, DLV
EAST RICHFORD, VT, UNITED STATES, ERC
HIGHGATE SPRINGS, VT, UNITED STATES, HIG
MORSES LINE, VT, UNITED STATES, MOR
NEWPORT, VT, UNITED STATES, NPV
NORTH TROY, VT, UNITED STATES, NRT
NORTON, VT, UNITED STATES, NRN
PINNACLE ROAD, VT, UNITED STATES, PIV
RICHFORT, VT, UNITED STATES, RIF
ST ALBANS, VT, UNITED STATES, STA
SWANTON (BP - SECTOR HQ), VT, UNITED STATES, SWB
WEST BERKSHIRE, VT, UNITED STATES, WBE
ABERDEEN, WA, UNITED STATES, ABE
ANACORTES, WA, UNITED STATES, ANA
BELLINGHAM, WA, UNITED STATES, BEL
BELLINGHAM #INTL, WA, UNITED STATES, BLI
BLAINE, WA, UNITED STATES, BLA
BOUNDARY, WA, UNITED STATES, BWA
CURLEW (BPS), WA, UNITED STATES, CUR
DANVILLE, WA, UNITED STATES, DVL
EVERETT, WA, UNITED STATES, EVE
FERRY, WA, UNITED STATES, FER
FRIDAY HARBOR, WA, UNITED STATES, FRI
FRONTIER, WA, UNITED STATES, FWA
KALAMA, WA, UNITED STATES, KLM
LAURIER, WA, UNITED STATES, LAU
LONGVIEW, WA, UNITED STATES, LON
METALINE FALLS, WA, UNITED STATES, MET
MOSES LAKE GRANT COUNTY ARPT, WA, UNITED STATES, MWH
NEAH BAY, WA, UNITED STATES, NEA
NIGHTHAWK, WA, UNITED STATES, NIG
OLYMPIA, WA, UNITED STATES, OLY
OROVILLE, WA, UNITED STATES, ORO
PASCO, WA, UNITED STATES, PWB
POINT ROBERTS, WA, UNITED STATES, PIR
PORT ANGELES, WA, UNITED STATES, PNG
PORT TOWNSEND, WA, UNITED STATES, PTO
SEATTLE, WA, UNITED STATES, SEA
SPOKANE, WA, UNITED STATES, SPO
SUMAS, WA, UNITED STATES, SUM
TACOMA, WA, UNITED STATES, TAC
TRI-CITIES - PASCO, WA, UNITED STATES, PSC
VANCOUVER, WA, UNITED STATES, VAN
ALGOMA, WI, UNITED STATES, AGM
BAYFIELD, WI, UNITED STATES, BAY
GREEN BAY, WI, UNITED STATES, GRB
MANITOWOC, WI, UNITED STATES, MNW
MILWAUKEE, WI, UNITED STATES, MIL
TRUAX FIELD - DANE COUNTY, WI, UNITED STATES, MSN
CHARLESTON, WV, UNITED STATES, CHS
CLARKSBURG, WV, UNITED STATES, CLK
MERCER COUNTY, WV, UNITED STATES, BLF
CASPER, WY, UNITED STATES, CSP
NOT REPORTED/UNKNOWN, , , XXX
UNIDENTIFIED AIR / SEAPORT, , , 888
UNKNOWN POE, , , UNK
CALGARY, , CANADA, CLG
EDMONTON, , CANADA, EDA
HAKAI PASS, , CANADA, YHC
HALIFAX, , CANADA, HAL
MONTREAL, , CANADA, MON
OTTAWA, , CANADA, OTT
SASKATOON, , CANADA, YXE
TORONTO, , CANADA, TOR
VANCOUVER, , CANADA, VCV
VICTORIA, , CANADA, VIC
WINNIPEG, , CANADA, WIN
AMSTERDAM-SHIPHOL, , NETHERLANDS, AMS
ARUBA, , NETH ANTILLES, ARB
BANKOK, , THAILAND, BAN
BEICA #ARPT, , ETHIOPIA, BEI
BEIJING CAPITAL INTL, , PRC, PEK
KINDLEY FIELD, , BERMUDA, BDA
"BOGOTA, EL DORADO #ARPT", , COLOMBIA, BOG
"BUENOS AIRES, MINISTRO PIST", , ARGENTINA, EZE
CANCUN, , MEXICO, CUN
"CARAVELAS, BA #ARPT", , BRAZIL, CRQ
CARRASCO, , URUGUAY, MVD
DUBLIN, , IRELAND, DUB
FOUGAMOU #ARPT, , GABON, FOU
FREEPORT, , BAHAMAS, FBA
"GEN M. ESCOBEDO, MONTERREY", , MEXICO, MTY
GEN PESQUEIRA GARCIA, , MEXICO, HMO
GRAND CAYMAN, , CAYMAN ISLAND, GCM
"GUADALAJARA, MIGUEL HIDAL", , MEXICO, GDL
HAMILTON, , BERMUDA, HAM
INCHON, , SOUTH KOREA, ICN
INVALID - IWAKUNI, , JAPAN, IWA
KOGALNICEANU, , ROMANIA, CND
LABUHA ARPT, , INDONESIA, LAH
LOUIS BOTHA, , SOUTH AFRICA, DUR
MANGOLE ARPT, , INDONESIA, MAL
MEDELLIN, , COLOMBIA, MDE
"JUAREZ INTL, MEXICO CITY", , MEXICO, MEX
MIDDLESEX, , ENGLAND, LHR
NAIROBI, , KENYA, NBO
NASSAU, , BAHAMAS, NAS
NORTH CAICOS, , TURK & CAIMAIN, NCA
OMAR TORRIJOS, , PANAMA, PTY
PAPUA, , NEW GUINEA, SPV
QUITO (MARISCAL SUCR), , ECUADOR, UIO
ROME, , ITALY, RIT
SAKON NAKHON #ARPT, , THAILAND, SNO
SAN LUIS POTOSI #ARPT, , COLOMBIA, SRO
"GUARULHOS INTL, SAO PAULO", , BRAZIL, GRU
SHANNON, , IRELAND, SHA
SHILLAVO, , ETHIOPIA, HIL
