name, i94_code
INVALID: NON-QUOTA IMMIGRANT, 710
INVALID: PUERTO RICO, 505
INVALID: STATELESS, 0
INVALID: STATELESS, 705
INVALID: UNITED STATES, 583
INVALID: UNITED STATES, 407
INVALID: UNKNOWN, 999
INVALID: UNKNOWN COUNTRY, 239
INVALID: USSR, 134
INVALID: U.S. VIRGIN ISLANDS, 506
INVALID: WAKE ISLAND, 755
Collapsed Tanzania (should not show), 311
Collapsed Curacao (should not show), 741
No Country Code (54), 54
No Country Code (100), 100
No Country Code (187), 187
No Country Code (190), 190
No Country Code (200), 200
No Country Code (219), 219
No Country Code (238), 238
No Country Code (277), 277
No Country Code (293), 293
No Country Code (300), 300
No Country Code (319), 319
No Country Code (365), 365
No Country Code (395), 395
No Country Code (400), 400
No Country Code (485), 485
No Country Code (503), 503
No Country Code (589), 589
No Country Code (592), 592
No Country Code (791), 791
No Country Code (849), 849
No Country Code (914), 914
No Country Code (944), 944
No Country Code (996), 996
